no_trial, id_candidate, left_ans, right_ans, ans_candidate, good_ans, correct, practice, reaction_time, time_stamp
0, Amisou, 51, 44, 51, 44, False, False, 0.8, 15.99
1, Amisou, 61, 53, 53, 61, False, False, 0.49, 18.68
